age,gender,semester,study_hours,attendance,assignment_completion,previous_gpa,mock_test_score,sleep_hours,screen_time,stress_level,programming_practice_hours,class_participation,learning_style,final_gpa
24,Male,7,1.59,57,100,6.85,58,7.04,2.38,8,5.7,6,Auditory,6.07
22,Male,6,9.54,91,90,7.12,37,8.09,6.51,7,2.51,7,Reading,7.48
18,Female,4,9.69,73,49,6.15,82,4.47,2.61,7,3.28,10,Auditory,6.97
17,Female,8,8.28,84,45,7.05,56,5.38,1.69,8,3.46,10,Kinesthetic,6.96
17,Male,3,3.74,63,88,6.18,48,5.03,4.35,5,3.91,10,Kinesthetic,5.9
18,Female,4,1.88,63,44,6.41,82,7.99,6.69,3,0.01,6,Reading,5.52
23,Female,6,7.16,59,97,8.05,63,8.67,3.69,2,5.06,5,Kinesthetic,8.07
23,Female,5,4.96,61,45,7.85,84,4.4,1.2,3,1.61,1,Visual,6.89
17,Female,3,2.1,87,98,5.73,44,5.9,4.87,3,2.83,4,Auditory,5.89
23,Female,7,5.46,93,95,9.26,61,8.57,5.76,7,5.05,8,Auditory,8.34
21,Male,8,1.31,95,98,9.07,62,5.72,6.18,1,5.98,8,Auditory,7.91
22,Female,7,9.18,83,86,7.2,43,7.56,3.81,7,4.77,6,Kinesthetic,7.63
18,Female,3,3.33,90,64,6.8,60,4.5,1.68,6,0.15,3,Kinesthetic,6.12
22,Female,2,6.96,59,98,6.5,42,6.22,5.09,10,2.21,8,Visual,6.13
17,Female,5,3.81,66,90,8.25,36,6.52,3.31,2,1.48,7,Kinesthetic,6.89
23,Female,1,5.68,66,89,8.06,91,7.79,7.63,10,5.78,9,Auditory,7.47
22,Female,4,5.92,52,100,5.54,86,5.44,4.52,1,1.59,3,Visual,6.52
20,Female,6,2.66,80,43,8.06,92,5.32,4.31,9,5.66,6,Visual,6.76
19,Female,2,9.73,100,79,5.84,37,5.51,3.16,2,5.63,1,Auditory,7.57
23,Female,6,7.98,50,98,4.6,42,6.78,3.37,4,5.04,8,Reading,6.07
21,Male,2,9.46,61,87,8.21,93,8.38,4.59,9,0.59,2,Kinesthetic,7.95
21,Male,7,9.05,88,71,7.92,36,8.15,3.15,9,0.01,5,Kinesthetic,7.31
19,Female,8,6.38,53,95,6.68,96,4.29,7.25,1,4.76,6,Auditory,7.29
19,Female,8,9.3,91,90,7.29,83,8.39,4.07,2,5.06,4,Reading,8.73
22,Male,3,1.8,62,91,9.52,54,4.48,3.04,2,5.77,9,Kinesthetic,7.52
22,Female,4,2.76,83,74,7.65,63,6.08,2.09,2,1.31,3,Reading,6.87
20,Male,2,1.41,91,49,7.99,51,7.83,5.71,8,4.4,2,Auditory,6.27
22,Male,3,3.93,70,73,4.84,56,4.41,1.18,8,3.11,3,Auditory,5.2
19,Male,3,4.5,71,75,5.38,40,4.2,4.15,10,1.97,5,Reading,5.03
21,Male,5,3.44,53,45,6.1,96,5.65,4.85,8,3.64,1,Auditory,5.58
20,Female,3,8.46,67,82,7.36,65,7.65,3.38,4,3.29,10,Auditory,7.67
19,Male,1,4.21,54,85,8.62,96,6.61,6.25,8,1.75,4,Visual,7.11
24,Female,7,3.53,68,55,6.2,46,6.09,5.73,7,1.61,1,Reading,5.26
20,Female,8,5.88,51,98,6.39,46,8.07,7.8,8,2.92,9,Kinesthetic,6.0
20,Female,5,2.27,61,92,5.86,97,7.83,4.56,1,2.84,3,Kinesthetic,6.41
22,Male,5,8.22,66,58,5.85,50,7.93,4.76,3,1.81,2,Visual,6.42
22,Male,1,1.67,59,73,9.53,59,6.3,2.72,10,1.58,5,Auditory,6.54
17,Male,1,9.88,83,64,7.87,56,4.1,3.7,6,5.73,1,Auditory,7.97
19,Female,6,7.95,55,70,5.33,52,4.86,1.19,1,5.17,10,Visual,6.52
24,Female,7,2.79,57,88,8.33,79,7.71,5.82,4,4.9,7,Visual,7.2
22,Male,2,1.05,100,80,8.33,46,7.77,3.18,9,1.29,9,Auditory,6.52
17,Female,8,8.34,60,56,8.03,83,8.86,4.78,7,1.14,1,Reading,7.42
22,Male,7,7.36,61,86,5.21,67,4.95,2.78,1,4.86,8,Visual,6.71
21,Male,6,7.56,58,69,6.66,97,4.61,5.35,6,1.11,8,Reading,6.77
23,Female,7,7.94,51,78,5.07,52,4.69,4.13,6,3.02,7,Kinesthetic,5.77
20,Female,2,1.67,57,93,8.83,88,4.92,4.37,2,1.33,10,Auditory,7.15
21,Male,8,4.23,60,94,7.97,61,6.64,7.6,6,2.27,4,Reading,6.71
20,Male,6,2.04,85,70,7.19,59,8.88,5.94,10,5.12,7,Reading,6.2
19,Female,8,8.77,59,58,6.32,68,6.95,2.83,2,5.35,2,Auditory,7.22
23,Female,1,6.61,70,74,5.48,94,6.61,4.53,8,5.98,6,Auditory,6.64
18,Female,2,3.98,69,68,5.06,88,7.37,4.27,7,5.66,5,Kinesthetic,5.93
19,Female,1,1.57,97,98,9.64,39,4.37,6.57,6,4.03,5,Auditory,7.38
20,Male,8,3.8,57,40,5.56,70,8.08,6.83,10,2.59,8,Reading,4.92
18,Male,1,3.93,85,43,4.82,88,7.23,2.98,6,0.35,1,Visual,5.49
24,Male,6,7.57,78,67,9.6,70,4.86,6.75,9,3.65,8,Auditory,8.0
18,Male,3,6.74,91,57,7.41,73,7.15,2.26,9,1.26,4,Auditory,7.1
24,Male,2,8.98,61,65,8.72,38,6.98,6.34,10,5.1,10,Visual,7.37
19,Male,5,5.25,63,79,4.73,99,4.32,2.74,10,3.29,6,Auditory,5.67
21,Male,5,2.08,97,58,7.5,74,5.33,3.09,2,4.4,6,Auditory,7.03
19,Male,2,7.42,99,94,6.61,71,5.95,6.97,3,4.04,1,Visual,7.72
20,Female,2,7.85,70,94,8.59,65,5.22,3.94,10,2.08,8,Reading,7.62
23,Female,2,6.05,71,99,4.7,81,5.22,7.93,7,4.55,4,Kinesthetic,6.05
21,Male,2,7.94,70,96,6.63,61,6.86,2.06,10,5.06,9,Kinesthetic,7.12
20,Female,8,5.44,93,45,8.74,85,6.35,4.24,9,4.46,7,Kinesthetic,7.65
24,Male,3,5.7,99,40,7.27,54,7.34,6.13,6,4.66,4,Reading,6.91
22,Male,1,4.85,79,47,7.42,47,8.78,1.04,1,2.16,1,Kinesthetic,6.93
22,Female,8,1.23,88,72,5.01,97,7.3,2.06,7,5.66,9,Reading,5.93
23,Male,2,1.97,69,90,5.2,78,6.91,1.14,1,2.55,10,Auditory,6.0
21,Female,6,1.28,73,82,8.09,58,8.24,7.95,5,5.38,6,Kinesthetic,6.66
17,Male,8,6.73,72,60,8.08,37,7.16,6.32,9,5.15,6,Visual,6.86
21,Male,2,3.83,56,63,9.69,44,4.83,3.61,10,0.75,1,Reading,6.5
17,Female,1,5.58,58,64,8.27,99,5.57,2.09,10,5.8,5,Kinesthetic,7.38
20,Female,1,9.17,50,86,7.11,83,7.67,1.63,9,5.98,4,Visual,7.62
19,Male,1,3.24,75,94,9.04,92,7.69,4.72,1,3.64,1,Kinesthetic,8.24
20,Female,8,4.69,87,96,5.05,36,8.94,7.83,6,4.7,7,Reading,5.91
19,Female,6,7.8,87,82,6.88,100,7.13,5.72,3,5.6,4,Reading,8.19
22,Female,4,3.06,93,58,6.02,65,8.5,3.56,9,0.12,3,Auditory,5.68
17,Female,5,1.69,71,68,5.05,71,4.27,4.51,3,5.58,2,Reading,5.45
19,Female,8,3.61,93,92,8.55,58,6.83,7.99,2,3.76,8,Kinesthetic,7.69
24,Male,6,2.45,59,49,7.21,78,8.6,4.63,8,4.97,5,Reading,6.08
20,Male,2,9.37,55,95,7.45,75,5.44,7.75,3,3.24,10,Visual,7.73
20,Female,3,8.27,66,51,6.68,85,4.77,1.11,5,3.18,9,Auditory,7.11
20,Female,3,6.7,100,72,6.94,76,5.75,6.05,6,5.39,5,Auditory,7.52
23,Male,7,8.84,99,95,5.11,74,7.96,5.39,10,3.04,10,Reading,6.94
21,Female,1,8.23,87,46,8.07,82,4.42,5.8,10,2.83,1,Kinesthetic,7.38
20,Female,3,2.68,73,56,6.79,38,7.0,4.99,1,3.65,10,Auditory,6.02
21,Female,5,9.03,100,100,8.83,94,4.68,1.31,7,3.11,5,Kinesthetic,9.17
18,Male,8,5.85,59,100,5.54,73,6.18,2.05,7,2.68,5,Kinesthetic,6.26
17,Male,2,8.27,57,97,5.59,39,8.83,7.46,5,1.08,8,Visual,6.18
18,Male,8,9.06,70,99,7.92,40,4.98,2.63,9,2.38,6,Auditory,7.42
18,Female,7,3.86,55,49,8.98,48,4.17,7.95,2,1.69,5,Reading,6.51
21,Female,3,1.99,70,70,7.0,46,6.14,5.76,5,2.4,8,Kinesthetic,5.73
21,Male,5,3.05,88,99,8.35,96,6.89,4.11,2,3.56,1,Auditory,8.09
23,Female,5,4.84,73,45,9.8,61,5.49,7.44,2,3.65,5,Auditory,7.69
24,Female,4,8.36,82,56,9.75,88,6.71,6.56,9,1.43,3,Kinesthetic,8.3
17,Female,4,8.75,67,89,8.44,46,8.77,4.0,7,0.51,5,Reading,7.65
17,Male,3,1.06,77,76,8.42,42,5.56,1.48,4,4.47,3,Auditory,6.7
22,Female,5,5.6,81,57,5.81,50,5.55,7.08,8,3.17,4,Auditory,5.7
17,Male,1,4.76,61,65,8.92,86,6.41,6.36,4,2.65,9,Reading,7.46
24,Female,4,3.0,97,88,6.65,60,6.58,6.54,1,0.78,2,Kinesthetic,6.65
23,Female,5,2.08,91,93,9.6,42,4.01,6.21,10,2.49,10,Kinesthetic,6.94
20,Female,4,4.04,76,55,4.93,79,7.08,2.93,3,4.91,1,Kinesthetic,6.0
20,Male,2,9.49,59,47,6.81,53,8.99,7.01,10,3.49,4,Kinesthetic,6.51
23,Female,7,3.91,95,63,7.45,51,5.46,1.02,1,0.55,8,Reading,6.93
17,Female,5,5.67,91,52,6.65,99,7.15,2.66,2,1.99,5,Visual,7.36
21,Male,5,7.33,81,68,5.62,63,4.02,1.33,2,5.88,9,Reading,6.98
18,Female,6,4.27,91,71,7.64,48,7.02,1.77,7,3.27,10,Reading,6.91
17,Female,2,9.75,75,63,8.51,51,6.24,4.73,4,1.72,3,Kinesthetic,7.93
22,Female,6,9.66,74,55,7.92,47,6.65,1.26,10,5.48,9,Auditory,7.55
17,Male,4,3.27,60,50,5.74,97,6.72,2.27,9,2.02,1,Reading,5.51
18,Male,8,5.48,72,71,8.38,67,4.88,2.63,2,4.38,2,Kinesthetic,7.7
19,Male,2,3.71,83,45,5.86,63,7.85,5.59,9,0.88,9,Auditory,5.37
17,Female,7,3.56,89,98,5.43,71,6.78,4.28,6,0.94,9,Reading,6.07
17,Female,3,1.33,72,74,8.16,80,5.35,4.21,10,3.37,10,Visual,6.36
20,Male,1,6.49,78,72,8.97,58,8.69,6.38,8,1.44,5,Visual,7.52
18,Male,4,5.52,80,57,7.05,48,4.06,4.2,7,0.3,10,Kinesthetic,6.08
22,Male,7,1.46,56,76,7.32,39,7.63,3.44,8,5.56,4,Auditory,5.75
24,Male,5,3.51,89,52,6.1,87,5.91,7.74,9,0.34,9,Auditory,5.66
17,Male,3,9.17,82,49,7.12,64,6.61,1.06,8,4.3,10,Kinesthetic,7.42
22,Male,4,3.16,70,76,5.2,94,5.46,3.14,6,2.0,2,Kinesthetic,5.73
17,Male,7,2.3,51,65,9.57,62,5.61,5.27,8,5.6,3,Auditory,6.84
19,Female,7,5.41,67,85,8.74,60,4.08,6.48,8,5.92,8,Visual,7.34
18,Female,8,9.87,96,56,8.04,52,7.65,6.71,2,2.01,1,Visual,8.15
17,Male,1,3.18,82,40,7.35,70,7.55,1.32,2,3.55,2,Reading,6.82
19,Female,5,7.05,86,64,8.7,42,7.27,5.96,1,4.64,5,Reading,8.04
17,Male,2,7.85,83,73,7.12,52,8.39,6.04,10,0.74,7,Auditory,6.75
21,Female,1,3.14,69,78,6.09,92,8.51,2.5,2,4.26,10,Visual,6.75
19,Female,6,7.55,84,49,5.35,66,6.78,1.79,7,5.44,9,Reading,6.52
22,Male,4,4.31,100,59,7.93,83,7.42,6.25,3,1.07,3,Visual,7.43
24,Female,5,6.69,99,46,9.43,82,4.05,2.75,4,5.03,4,Visual,8.59
24,Female,4,6.7,67,95,5.31,99,8.23,1.01,4,0.69,10,Auditory,6.89
23,Female,1,5.82,95,55,5.45,67,8.08,2.57,4,3.41,1,Visual,6.58
21,Female,7,1.81,73,76,6.8,84,4.1,1.22,2,2.04,1,Auditory,6.43
24,Male,5,8.52,57,68,8.78,38,6.71,2.74,6,2.83,1,Reading,7.51
23,Male,7,3.89,79,99,6.06,70,8.53,3.35,1,1.8,4,Kinesthetic,6.81
24,Female,1,2.68,93,51,5.85,62,4.91,2.9,5,1.56,9,Visual,5.67
17,Female,4,1.37,59,56,7.79,37,5.76,7.44,2,4.46,8,Kinesthetic,5.85
19,Male,6,6.32,72,87,7.34,40,5.66,2.63,9,1.34,4,Kinesthetic,6.52
18,Female,5,7.1,98,59,4.82,79,5.78,4.27,2,2.45,8,Auditory,6.63
23,Male,8,1.15,60,65,4.93,57,4.21,7.7,6,1.65,7,Visual,4.27
23,Female,7,5.61,51,87,7.91,41,5.4,7.15,4,1.43,6,Visual,6.51
24,Female,7,3.04,75,58,6.97,95,5.47,3.16,6,3.76,10,Reading,6.55
24,Female,7,6.81,85,97,9.65,99,8.33,3.29,2,0.27,2,Kinesthetic,9.17
22,Male,7,2.57,82,86,8.1,40,5.76,5.15,2,4.73,3,Kinesthetic,7.0
24,Female,8,7.22,96,51,4.55,58,6.24,7.43,7,3.28,4,Auditory,5.78
20,Male,5,4.48,62,60,7.05,71,5.9,1.07,3,4.97,7,Visual,6.8
24,Male,7,9.43,89,81,6.7,79,4.6,3.75,3,1.28,8,Visual,7.78
17,Male,7,2.24,74,100,5.07,85,8.95,6.95,7,4.26,8,Kinesthetic,5.83
19,Male,5,4.07,53,97,9.39,79,8.13,3.87,8,2.52,4,Reading,7.57
24,Female,4,2.02,91,100,8.77,97,6.7,6.04,7,0.46,9,Kinesthetic,7.48
21,Male,3,9.32,68,93,5.72,63,6.38,5.84,3,4.51,8,Visual,7.19
19,Male,6,8.9,67,73,5.86,59,7.25,2.44,3,4.57,5,Auditory,7.1
18,Male,4,3.32,86,46,4.67,44,5.63,4.15,7,1.63,3,Auditory,4.73
19,Male,2,6.94,79,84,6.07,69,4.25,4.96,3,5.5,2,Auditory,7.08
21,Female,8,8.35,68,74,7.6,89,6.02,6.01,2,4.58,9,Visual,8.04
17,Male,3,6.0,72,54,6.73,59,8.92,6.76,7,1.84,1,Visual,6.27
22,Male,8,5.77,65,40,9.64,79,4.91,6.32,3,1.43,7,Auditory,7.6
21,Male,4,3.18,50,65,4.8,46,6.64,1.2,5,2.64,7,Visual,4.83
22,Male,2,1.84,61,74,7.63,38,4.04,5.69,7,1.76,1,Reading,5.5
22,Female,8,9.07,73,64,9.05,51,4.61,4.48,2,1.3,7,Auditory,8.07
21,Male,8,9.1,83,81,7.05,99,6.94,5.02,8,2.39,1,Reading,7.83
21,Female,7,6.7,57,98,4.52,87,5.49,3.61,2,0.15,2,Reading,6.12
20,Male,1,4.05,67,98,5.79,91,8.53,6.0,4,2.41,9,Visual,6.51
24,Female,2,4.14,97,54,6.22,62,6.03,5.72,4,1.33,8,Visual,6.18
22,Male,6,7.53,54,61,9.62,50,5.04,5.06,8,1.59,9,Auditory,7.32
17,Male,5,9.07,75,98,9.33,55,6.73,7.03,1,0.5,9,Visual,8.62
24,Male,6,8.98,79,45,9.53,76,7.97,1.71,9,3.53,4,Reading,8.44
24,Male,3,8.02,62,91,8.88,88,4.1,3.11,6,2.83,5,Visual,8.22
24,Female,4,6.78,68,54,6.36,66,6.53,4.47,4,4.5,10,Auditory,6.66
20,Male,8,1.76,78,63,9.3,72,7.87,7.71,6,5.92,7,Kinesthetic,7.3
22,Female,7,2.45,52,60,9.7,72,4.52,1.5,6,0.72,6,Kinesthetic,6.86
19,Male,6,9.09,75,46,6.36,88,8.51,3.36,9,1.63,9,Visual,6.93
17,Male,4,6.46,89,96,5.88,94,5.32,7.48,4,4.09,2,Kinesthetic,7.25
17,Female,5,1.08,61,100,7.4,81,4.85,7.29,8,1.42,8,Reading,5.92
24,Male,8,1.91,51,68,5.49,46,6.95,7.06,1,0.18,2,Kinesthetic,4.82
22,Female,3,6.97,60,71,4.67,87,4.88,3.16,6,0.66,2,Kinesthetic,5.76
19,Male,8,1.05,93,71,9.51,67,7.4,6.93,5,2.6,3,Reading,7.33
19,Male,3,2.45,77,92,9.41,62,6.45,4.54,3,2.58,4,Auditory,7.63
21,Female,6,5.94,67,98,5.36,37,4.55,5.34,4,5.83,6,Kinesthetic,6.11
22,Male,5,7.23,62,44,6.66,60,8.56,2.67,8,2.8,6,Kinesthetic,6.37
22,Female,3,6.87,86,43,8.9,88,7.37,5.95,10,4.07,2,Kinesthetic,7.78
17,Male,5,3.02,71,61,8.0,74,6.73,3.29,2,2.95,6,Auditory,7.01
23,Male,2,7.41,61,57,6.59,100,5.87,3.41,8,1.62,8,Visual,6.71
18,Female,6,3.14,51,74,8.44,81,4.67,5.46,7,0.63,5,Visual,6.42
24,Male,7,3.93,86,56,9.25,36,7.54,2.68,1,5.15,1,Auditory,7.77
22,Male,8,7.72,56,89,9.41,76,8.07,2.57,2,0.92,8,Reading,8.5
21,Female,5,6.85,75,89,6.51,68,4.63,3.58,7,0.58,6,Visual,6.64
17,Female,4,8.64,75,95,5.42,55,6.47,6.45,3,1.28,2,Auditory,6.69
24,Male,1,6.92,73,63,9.34,78,6.42,2.57,2,0.01,7,Auditory,8.19
19,Female,2,6.11,61,41,4.99,36,5.75,6.51,1,0.43,8,Reading,5.09
19,Female,6,1.84,65,52,8.32,93,7.95,5.87,7,3.81,2,Auditory,6.67
24,Female,6,4.31,72,93,5.24,50,4.5,5.75,3,1.46,1,Visual,5.65
18,Male,8,3.39,89,54,6.56,54,5.03,4.32,6,2.03,6,Visual,5.91
17,Male,6,3.2,58,44,6.68,60,4.01,6.22,10,5.01,6,Auditory,5.26
20,Male,4,9.76,81,42,5.34,50,5.86,1.09,8,4.64,8,Auditory,6.46
21,Female,2,4.54,64,76,9.39,57,5.46,3.14,6,2.95,7,Reading,7.41
17,Male,4,9.03,86,76,4.51,76,8.33,5.75,7,3.68,8,Reading,6.61
20,Male,7,6.68,62,76,9.24,71,7.73,7.91,6,0.51,10,Kinesthetic,7.59
19,Male,3,8.15,54,42,9.18,40,4.42,1.02,7,4.57,10,Auditory,7.37
19,Male,5,5.52,60,74,6.18,71,7.7,4.57,5,3.1,5,Kinesthetic,6.37
20,Male,4,6.19,59,91,8.23,56,7.38,7.47,9,3.43,2,Kinesthetic,7.0
20,Female,4,5.43,62,62,5.84,40,5.41,7.04,3,3.99,5,Kinesthetic,5.73
18,Female,7,2.76,90,99,8.52,66,4.08,1.16,6,3.0,2,Kinesthetic,7.44
24,Female,3,7.5,95,67,7.47,51,4.58,4.71,9,3.13,9,Visual,7.08
17,Male,7,3.53,99,99,6.09,72,5.25,1.03,1,3.0,5,Reading,7.11
19,Female,1,1.22,64,69,6.62,51,8.08,6.53,5,2.98,1,Auditory,5.49
21,Male,7,6.81,91,57,8.16,71,6.33,3.16,4,4.5,9,Reading,7.95
19,Female,1,2.59,56,97,9.3,57,8.59,6.36,9,2.56,10,Reading,6.9
17,Male,5,9.46,89,91,5.19,83,7.95,7.61,1,0.02,5,Reading,7.31
24,Male,3,9.59,77,75,7.53,95,5.44,7.83,4,3.67,1,Reading,8.13
20,Female,7,9.23,81,72,5.84,83,8.23,7.26,1,5.72,9,Reading,7.73
18,Female,7,4.33,84,65,8.75,95,4.58,2.43,3,1.54,9,Reading,7.81
23,Female,8,1.14,64,87,4.87,66,4.18,2.36,4,4.9,10,Visual,5.25
24,Female,2,9.35,97,79,8.15,97,7.04,5.38,1,2.73,10,Reading,9.05
19,Male,4,4.85,85,56,5.43,41,5.71,4.81,5,3.86,9,Auditory,5.69
24,Male,5,9.7,70,79,7.66,56,5.65,1.07,6,5.35,6,Auditory,7.95
18,Male,1,9.67,55,46,8.93,40,7.44,3.74,1,4.63,10,Kinesthetic,8.05
24,Female,2,8.68,50,96,8.5,95,8.25,7.35,10,5.31,10,Kinesthetic,8.08
20,Male,6,3.65,53,47,8.49,48,5.61,7.29,10,0.06,2,Reading,5.61
22,Male,3,4.47,60,92,7.24,50,5.63,2.43,4,1.12,7,Kinesthetic,6.48
17,Male,8,8.66,93,95,9.22,37,6.67,3.67,4,2.54,2,Kinesthetic,8.61
19,Male,8,3.85,75,70,7.62,43,7.27,4.92,1,5.09,4,Reading,6.97
17,Female,8,2.53,86,98,9.36,81,5.01,6.97,2,5.03,4,Kinesthetic,8.14
21,Female,6,6.01,72,97,7.4,76,8.56,4.72,10,1.11,10,Auditory,7.0
17,Female,4,9.43,78,51,7.18,76,7.27,7.78,5,0.85,7,Reading,7.29
23,Female,6,7.26,70,87,5.68,57,7.13,6.59,2,5.01,6,Auditory,6.82
22,Male,8,6.13,97,70,7.39,37,8.52,7.67,3,3.25,10,Auditory,7.2
20,Male,6,1.87,94,83,5.25,35,8.54,6.12,9,3.76,7,Visual,5.21
20,Female,4,6.54,94,58,9.11,37,4.68,7.14,5,4.86,6,Visual,7.7
21,Female,1,9.91,98,49,8.08,83,4.73,6.82,1,1.27,1,Kinesthetic,8.37
23,Female,6,2.26,76,78,9.77,89,7.81,2.78,5,0.82,4,Auditory,7.78
17,Male,7,5.66,88,51,4.99,38,8.78,2.61,3,5.15,3,Kinesthetic,6.09
22,Female,1,8.9,89,59,5.78,65,7.33,7.05,1,0.67,7,Reading,6.97
20,Male,5,7.67,62,76,9.15,100,6.06,1.59,3,0.53,7,Auditory,8.46
20,Male,6,7.27,72,87,6.59,98,7.42,3.86,6,1.66,4,Kinesthetic,7.33
20,Female,8,7.32,65,80,6.97,65,5.14,6.74,10,1.9,7,Auditory,6.45
20,Female,8,4.24,79,46,9.06,97,8.99,6.69,5,1.45,4,Kinesthetic,7.6
18,Female,6,3.64,53,91,7.27,100,6.16,1.97,1,4.45,9,Reading,7.35
23,Female,8,8.28,89,93,5.53,65,8.66,4.41,2,5.84,3,Visual,7.61
19,Female,4,8.29,65,97,9.23,81,6.15,4.36,5,1.2,10,Auditory,8.44
18,Female,4,8.8,80,53,4.66,56,8.64,3.27,9,4.69,2,Kinesthetic,6.13
20,Male,6,9.22,91,50,9.25,80,5.68,7.42,5,0.27,5,Visual,8.3
23,Female,6,5.6,74,46,4.77,92,7.8,5.57,5,0.71,9,Reading,5.7
22,Female,7,5.51,93,68,8.03,95,8.76,7.86,1,3.09,3,Visual,8.12
17,Male,4,8.18,61,49,4.88,80,7.23,1.47,5,6.0,1,Reading,6.47
18,Male,4,6.85,75,68,8.24,35,7.39,3.76,8,5.7,9,Kinesthetic,7.28
24,Male,2,7.32,86,48,4.68,59,4.51,6.85,9,0.67,5,Reading,5.28
24,Female,3,8.16,97,75,8.97,95,6.37,3.96,10,1.44,2,Visual,8.42
24,Male,2,9.01,82,87,6.97,48,8.43,2.83,3,5.67,6,Kinesthetic,7.99
21,Male,6,4.04,77,49,5.0,79,5.2,7.98,4,0.9,3,Kinesthetic,5.3
19,Female,3,4.38,58,58,8.25,73,7.94,7.11,7,4.46,9,Auditory,6.8
24,Female,2,1.85,61,95,7.09,100,7.38,4.83,7,0.01,3,Kinesthetic,6.28
17,Male,5,6.2,54,70,5.51,66,5.11,4.93,1,3.79,2,Kinesthetic,6.19
18,Female,3,1.32,77,56,4.58,92,5.41,1.05,6,2.97,3,Kinesthetic,5.17
19,Female,4,5.19,84,48,6.72,90,6.14,7.87,9,2.83,6,Auditory,6.36
23,Female,8,5.88,54,84,4.95,40,4.63,6.64,5,4.98,3,Reading,5.43
22,Male,3,3.58,83,72,5.0,84,8.57,1.26,8,0.48,9,Visual,5.72
23,Female,4,6.32,95,73,5.92,72,7.7,2.23,10,2.26,9,Kinesthetic,6.6
18,Female,5,1.27,83,84,7.84,37,5.82,6.75,9,2.68,9,Visual,5.89
21,Male,8,1.34,62,63,7.31,39,5.5,1.61,10,0.74,2,Visual,5.13
20,Male,7,8.4,88,48,4.87,58,7.45,7.59,10,0.51,7,Kinesthetic,5.61
21,Male,6,4.24,91,46,9.63,88,6.12,8.0,3,1.08,2,Visual,7.84
20,Male,7,2.14,94,55,9.2,68,5.15,7.21,1,1.45,1,Reading,7.32
19,Female,3,5.7,97,58,5.87,73,6.15,6.17,2,5.8,5,Visual,6.96
18,Female,1,7.93,63,78,5.15,82,8.36,4.41,5,2.85,8,Visual,6.57
18,Female,4,2.94,60,45,9.49,83,4.34,1.58,10,3.06,3,Auditory,6.85
